Latitude,Longitude,Foursquare Name,Distance,Popularity,Rating,Price
53.338755,-6.262003,"0      St. Stephen's Green
1            Hodges Figgis
2        St Patrick's Park
3      Merrion Square Park
4          The Porterhouse
5    Vintage Cocktail Club
6            College Green
7           Iveagh Gardens
8        Murphys Ice Cream
9           Fallon & Byrne
Name: name, dtype: object",0,"0    0.999829
1    0.997400
2    0.999257
3    0.999486
4    0.995971
5    0.963312
6    0.998543
7    0.983256
8    0.994857
9    0.985942
Name: popularity, dtype: float64","0    9.5
1    9.4
2    9.3
3    9.2
4    9.2
5    9.2
6    9.2
7    9.2
8    9.1
9    9.1
Name: rating, dtype: float64","0    NaN
1    NaN
2    NaN
3    NaN
4    2.0
5    3.0
6    NaN
7    NaN
8    1.0
9    2.0
Name: price, dtype: float64"
53.347777,-6.244239,"0                 Merrion Square Park
1          Apartment Grand Canal Dock
2    EPIC The Irish Emigration Museum
3          Third Floor Espresso (3FE)
4                    Shoe Lane Coffee
5                         Coffeeangel
6                     Famine Memorial
7                    The Pig & Heifer
8            Bord Gáis Energy Theatre
9                       Cassidy's Bar
Name: name, dtype: object",0,"0    0.999486
1    0.953369
2    0.997143
3    0.992485
4    0.989771
5    0.985342
6    0.981713
7    0.980113
8    0.980513
9    0.997628
Name: popularity, dtype: float64","0    9.2
1    9.1
2    9.1
3    9.1
4    9.0
5    9.0
6    8.9
7    8.9
8    8.9
9    8.8
Name: rating, dtype: float64","0    NaN
1    NaN
2    NaN
3    2.0
4    1.0
5    1.0
6    NaN
7    1.0
8    NaN
9    2.0
Name: price, dtype: float64"
53.336074,-6.252825,"0           St. Stephen's Green
1                 Hodges Figgis
2           Merrion Square Park
3                Iveagh Gardens
4             Murphys Ice Cream
5    Third Floor Espresso (3FE)
6                      P. Mac's
7        Butlers Chocolate Café
8                        Bunsen
9                   Coffeeangel
Name: name, dtype: object",0,"0    0.999829
1    0.997400
2    0.999486
3    0.983256
4    0.994857
5    0.992485
6    0.973084
7    0.998714
8    0.968627
9    0.985342
Name: popularity, dtype: float64","0    9.5
1    9.4
2    9.2
3    9.2
4    9.1
5    9.1
6    9.0
7    9.0
8    9.0
9    9.0
Name: rating, dtype: float64","0    NaN
1    NaN
2    NaN
3    NaN
4    1.0
5    2.0
6    2.0
7    1.0
8    2.0
9    1.0
Name: price, dtype: float64"
53.330091,-6.268044,"0           Iveagh Gardens
1                Ernesto's
2              Bibi's Cafe
3         Hang Dai Chinese
4    Nick's Coffee Company
5           Stella Theatre
6                Blackbird
7                   Bunsen
8         Green Bench Cafe
9    Brother Hubbard South
Name: name, dtype: object",0,"0    0.983256
1    0.973570
2    0.956512
3    0.938311
4    0.923967
5    0.954283
6    0.985456
7    0.968627
8    0.898166
9    0.982570
Name: popularity, dtype: float64","0    9.2
1    9.1
2    9.1
3    9.0
4    9.0
5    9.0
6    9.0
7    9.0
8    9.0
9    9.0
Name: rating, dtype: float64","0    NaN
1    1.0
2    2.0
3    1.0
4    1.0
5    NaN
6    2.0
7    2.0
8    1.0
9    1.0
Name: price, dtype: float64"
53.350929,-6.265125,"0                      147 Deli
1               The Porterhouse
2         Vintage Cocktail Club
3                 College Green
4             Murphys Ice Cream
5                Fallon & Byrne
6               Brother Hubbard
7                      Hacienda
8    Irish Film Institute (IFI)
9            Light House Cinema
Name: name, dtype: object",0,"0    0.977284
1    0.995971
2    0.963312
3    0.998543
4    0.994857
5    0.985942
6    0.976313
7    0.920853
8    0.970627
9    0.990199
Name: popularity, dtype: float64","0    9.4
1    9.2
2    9.2
3    9.2
4    9.1
5    9.1
6    9.1
7    9.1
8    9.1
9    9.1
Name: rating, dtype: float64","0    1.0
1    2.0
2    3.0
3    NaN
4    1.0
5    2.0
6    2.0
7    1.0
8    2.0
9    NaN
Name: price, dtype: float64"
53.341515,-6.256853,"0      St. Stephen's Green
1            Hodges Figgis
2      Merrion Square Park
3          The Porterhouse
4    Vintage Cocktail Club
5            College Green
6           Iveagh Gardens
7        Murphys Ice Cream
8           Fallon & Byrne
9          Brother Hubbard
Name: name, dtype: object",0,"0    0.999829
1    0.997400
2    0.999486
3    0.995971
4    0.963312
5    0.998543
6    0.983256
7    0.994857
8    0.985942
9    0.976313
Name: popularity, dtype: float64","0    9.5
1    9.4
2    9.2
3    9.2
4    9.2
5    9.2
6    9.2
7    9.1
8    9.1
9    9.1
Name: rating, dtype: float64","0    NaN
1    NaN
2    NaN
3    2.0
4    3.0
5    NaN
6    NaN
7    1.0
8    2.0
9    2.0
Name: price, dtype: float64"
53.348279,-6.254662,"0                       Hodges Figgis
1                            147 Deli
2                 Merrion Square Park
3                     The Porterhouse
4               Vintage Cocktail Club
5                       College Green
6                   Murphys Ice Cream
7                      Fallon & Byrne
8                     Brother Hubbard
9    EPIC The Irish Emigration Museum
Name: name, dtype: object",0,"0    0.997400
1    0.977284
2    0.999486
3    0.995971
4    0.963312
5    0.998543
6    0.994857
7    0.985942
8    0.976313
9    0.997143
Name: popularity, dtype: float64","0    9.4
1    9.4
2    9.2
3    9.2
4    9.2
5    9.2
6    9.1
7    9.1
8    9.1
9    9.1
Name: rating, dtype: float64","0    NaN
1    1.0
2    NaN
3    2.0
4    3.0
5    NaN
6    1.0
7    2.0
8    2.0
9    NaN
Name: price, dtype: float64"
53.35893,-6.280337,"0        The Bald Eagle
1         The Back Page
2                 Slice
3        Clarkes Bakery
4      Blessington Park
5    L. Mulligan Grocer
6                 Grano
7       The Drink Store
8             Bang Bang
9         Two Boys Brew
Name: name, dtype: object",0,"0    0.981770
1    0.967970
2    0.960055
3    0.932853
4    0.996543
5    0.962112
6    0.976713
7    0.962969
8    0.955140
9    0.947654
Name: popularity, dtype: float64","0    8.8
1    8.7
2    8.4
3    8.3
4    8.3
5    8.3
6    8.1
7    8.0
8    8.0
9    8.0
Name: rating, dtype: float64","0    3.0
1    2.0
2    1.0
3    1.0
4    NaN
5    3.0
6    2.0
7    NaN
8    1.0
9    1.0
Name: price, dtype: float64"
53.344115,-6.237153,"0                 Merrion Square Park
1          Apartment Grand Canal Dock
2    EPIC The Irish Emigration Museum
3          Third Floor Espresso (3FE)
4                   Juniors Deli Cafe
5                      Paulie's Pizza
6                     Famine Memorial
7                          Lotts & Co
8            Bord Gáis Energy Theatre
9                  Oscar Wilde Statue
Name: name, dtype: object",0,"0    0.999486
1    0.953369
2    0.997143
3    0.992485
4    0.913995
5    0.940425
6    0.981713
7    0.976884
8    0.980513
9    0.996228
Name: popularity, dtype: float64","0    9.2
1    9.1
2    9.1
3    9.1
4    9.0
5    9.0
6    8.9
7    8.9
8    8.9
9    8.8
Name: rating, dtype: float64","0    NaN
1    NaN
2    NaN
3    2.0
4    2.0
5    2.0
6    NaN
7    NaN
8    NaN
9    NaN
Name: price, dtype: float64"
53.343893,-6.280531,"0             St Patrick's Park
1               Urbanity Coffee
2               The Porterhouse
3    Teeling Whiskey Distillery
4               Lilliput Stores
5               Brother Hubbard
6                      Hacienda
7            Light House Cinema
8                    PHX Bistro
9                Queen of Tarts
Name: name, dtype: object",0,"0    0.999257
1    0.992885
2    0.995971
3    0.995400
4    0.958540
5    0.976313
6    0.920853
7    0.990199
8    0.949454
9    0.976742
Name: popularity, dtype: float64","0    9.3
1    9.3
2    9.2
3    9.1
4    9.1
5    9.1
6    9.1
7    9.1
8    9.1
9    9.0
Name: rating, dtype: float64","0    NaN
1    1.0
2    2.0
3    NaN
4    NaN
5    2.0
6    1.0
7    NaN
8    NaN
9    2.0
Name: price, dtype: float64"
